Rank,token,Formula-here,,Rank,Token,Formula-here
1,fever,0.94,,21,body,0.66
2,demonstrates,0.89,,22,could,0.65
3,change,0.81,,23,patient's,0.65
4,somewhat,0.80,,24,cough,0.64
5,consolidatio,0.80,,25,limited,0.64
6,aspiration,0.78,,26,silhouettes,0.63
7,possible,0.74,,27,also,0.63
8,concerning,0.74,,28,opacity,0.62
9,appearance,0.73,,29,however,0.62
10,setting,0.73,,30,increased,0.61
11,linear,0.72,,31,detected,0.60
12,bibasilar,0.72,,32,opacities,0.59
13,scarring,0.72,,33,opacification,0.58
14,assessed,0.71,,34,atelectasi,0.57
15,overlying,0.71,,35,pneumonia,0.56
16,reflect,0.70,,36,abnormalit,0.56
17,infection,0.70,,37,study,0.56
18,appropriate,0.69,,38,remains,0.56
19,similar,0.69,,39,volumes,0.55
20,significant,0.68,,40,mildly,0.55
